SIM_ID,ks,fl_mu_0,fl_mu_ratio,ftype_proportions_0,bpwr_mu_ratio,preburn_fraction,burn_fibers
DOE_0120101,1.4,0.3,10,0.1,2,0.002,True
DOE_0120110,1.4,0.3,10,0.1,2,0.006,False
DOE_0120111,1.4,0.3,10,0.1,2,0.006,True
DOE_0120120,1.4,0.3,10,0.1,2,0.01,False
DOE_0120121,1.4,0.3,10,0.1,2,0.01,True
DOE_0120200,1.4,0.3,10,0.1,3,0.002,False
DOE_0120201,1.4,0.3,10,0.1,3,0.002,True
DOE_0120210,1.4,0.3,10,0.1,3,0.006,False
DOE_0120211,1.4,0.3,10,0.1,3,0.006,True
DOE_0120220,1.4,0.3,10,0.1,3,0.01,False
DOE_0120221,1.4,0.3,10,0.1,3,0.01,True
DOE_0121000,1.4,0.3,10,0.3,1,0.002,False
DOE_0121001,1.4,0.3,10,0.3,1,0.002,True
DOE_0121010,1.4,0.3,10,0.3,1,0.006,False
DOE_0121011,1.4,0.3,10,0.3,1,0.006,True
DOE_0121020,1.4,0.3,10,0.3,1,0.01,False
DOE_0121021,1.4,0.3,10,0.3,1,0.01,True
DOE_0121100,1.4,0.3,10,0.3,2,0.002,False
DOE_0121101,1.4,0.3,10,0.3,2,0.002,True
DOE_0121110,1.4,0.3,10,0.3,2,0.006,False
DOE_0121111,1.4,0.3,10,0.3,2,0.006,True
DOE_0121120,1.4,0.3,10,0.3,2,0.01,False
DOE_0121121,1.4,0.3,10,0.3,2,0.01,True
DOE_0121200,1.4,0.3,10,0.3,3,0.002,False
DOE_0121201,1.4,0.3,10,0.3,3,0.002,True
DOE_0121210,1.4,0.3,10,0.3,3,0.006,False
DOE_0121211,1.4,0.3,10,0.3,3,0.006,True
DOE_0121220,1.4,0.3,10,0.3,3,0.01,False
DOE_0121221,1.4,0.3,10,0.3,3,0.01,True
DOE_0122000,1.4,0.3,10,0.5,1,0.002,False
DOE_0122001,1.4,0.3,10,0.5,1,0.002,True
DOE_0122010,1.4,0.3,10,0.5,1,0.006,False
DOE_0122011,1.4,0.3,10,0.5,1,0.006,True
DOE_0122020,1.4,0.3,10,0.5,1,0.01,False
DOE_0122021,1.4,0.3,10,0.5,1,0.01,True
DOE_0122100,1.4,0.3,10,0.5,2,0.002,False
DOE_0122101,1.4,0.3,10,0.5,2,0.002,True
DOE_0122110,1.4,0.3,10,0.5,2,0.006,False
DOE_0122111,1.4,0.3,10,0.5,2,0.006,True
DOE_0122120,1.4,0.3,10,0.5,2,0.01,False
DOE_0122121,1.4,0.3,10,0.5,2,0.01,True
DOE_0122200,1.4,0.3,10,0.5,3,0.002,False
DOE_0122201,1.4,0.3,10,0.5,3,0.002,True
DOE_0122210,1.4,0.3,10,0.5,3,0.006,False
DOE_0122211,1.4,0.3,10,0.5,3,0.006,True
DOE_0122220,1.4,0.3,10,0.5,3,0.01,False
DOE_0122221,1.4,0.3,10,0.5,3,0.01,True
DOE_0200000,1.4,0.5,2,0.1,1,0.002,False
DOE_0200001,1.4,0.5,2,0.1,1,0.002,True
DOE_0200010,1.4,0.5,2,0.1,1,0.006,False
DOE_0200011,1.4,0.5,2,0.1,1,0.006,True
DOE_0200020,1.4,0.5,2,0.1,1,0.01,False
DOE_0200021,1.4,0.5,2,0.1,1,0.01,True
DOE_0200100,1.4,0.5,2,0.1,2,0.002,False
DOE_0200101,1.4,0.5,2,0.1,2,0.002,True
DOE_0200110,1.4,0.5,2,0.1,2,0.006,False
DOE_0200111,1.4,0.5,2,0.1,2,0.006,True
DOE_0200120,1.4,0.5,2,0.1,2,0.01,False
DOE_0200121,1.4,0.5,2,0.1,2,0.01,True
DOE_0200200,1.4,0.5,2,0.1,3,0.002,False
DOE_0200201,1.4,0.5,2,0.1,3,0.002,True
DOE_0200210,1.4,0.5,2,0.1,3,0.006,False
DOE_0200211,1.4,0.5,2,0.1,3,0.006,True
DOE_0200220,1.4,0.5,2,0.1,3,0.01,False
DOE_0200221,1.4,0.5,2,0.1,3,0.01,True
DOE_0201000,1.4,0.5,2,0.3,1,0.002,False
DOE_0201001,1.4,0.5,2,0.3,1,0.002,True
DOE_0201010,1.4,0.5,2,0.3,1,0.006,False
DOE_0201011,1.4,0.5,2,0.3,1,0.006,True
DOE_0201020,1.4,0.5,2,0.3,1,0.01,False
DOE_0201021,1.4,0.5,2,0.3,1,0.01,True
DOE_0201100,1.4,0.5,2,0.3,2,0.002,False
DOE_0201101,1.4,0.5,2,0.3,2,0.002,True
DOE_0201110,1.4,0.5,2,0.3,2,0.006,False
DOE_0201111,1.4,0.5,2,0.3,2,0.006,True
DOE_0201120,1.4,0.5,2,0.3,2,0.01,False
DOE_0201121,1.4,0.5,2,0.3,2,0.01,True
DOE_0201200,1.4,0.5,2,0.3,3,0.002,False
DOE_0201201,1.4,0.5,2,0.3,3,0.002,True
DOE_0201210,1.4,0.5,2,0.3,3,0.006,False
